order_id,order_date,ship_date,ship_mode,customer_name,segment,state,country,market,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,shipping_cost,order_priority,year
ES-2011-4869686,2011-03-01,2011-07-01,Standard Class,Dorothy Dickinson,Consumer,England,United Kingdom,EU,North,FUR-BO-10000728,Furniture,Bookcases,"Dania Corner Shelving, Traditional",854.0,7,0.0,290.43,12.56,Medium,2011
IN-2011-33652,2011-03-01,2011-09-01,Standard Class,Dennis Pardue,Home Office,Sarawak,Malaysia,APAC,Southeast Asia,TEC-CO-10000594,Technology,Copiers,"Hewlett Fax and Copier, Laser",193.0,1,0.0,50.13,10.4,Medium,2011
ID-2011-80230,2011-03-01,2011-09-01,Standard Class,Ken Lonsdale,Consumer,Auckland,New Zealand,APAC,Oceania,FUR-CH-10000214,Furniture,Chairs,"Hon Rocking Chair, Set of Two",159.0,2,0.4,-95.676,10.07,Low,2011
MX-2011-160234,2011-03-01,2011-07-01,Standard Class,Stewart Visinsky,Consumer,Guatemala,Guatemala,LATAM,Central,TEC-PH-10002647,Technology,Phones,"Nokia Headset, VoIP",195.0,4,0.0,44.88,8.43,Medium,2011
IR-2011-770,2011-03-01,2011-07-01,Standard Class,Jas O'Carroll,Consumer,Yazd,Iran,EMEA,EMEA,OFF-BRE-10003081,Office Supplies,Appliances,"Breville Coffee Grinder, Black",123.0,2,0.0,42.9,8.41,Medium,2011
ID-2011-80230,2011-03-01,2011-09-01,Standard Class,Ken Lonsdale,Consumer,Auckland,New Zealand,APAC,Oceania,TEC-AC-10002881,Technology,Accessories,"Belkin Numeric Keypad, Bluetooth",69.0,2,0.4,3.42,8.34,Low,2011
ID-2011-80230,2011-03-01,2011-09-01,Standard Class,Ken Lonsdale,Consumer,Auckland,New Zealand,APAC,Oceania,FUR-CH-10000666,Furniture,Chairs,"SAFCO Chairmat, Black",69.0,2,0.4,-26.412,8.17,Low,2011
ID-2011-12596,2011-03-01,2011-08-01,Standard Class,Chris McAfee,Consumer,Nakhon Ratchasima,Thailand,APAC,Southeast Asia,OFF-ST-10002066,Office Supplies,Storage,"Smead File Cart, Blue",135.0,2,0.47,-45.9018,7.74,Medium,2011
IN-2011-79397,2011-03-01,2011-03-01,Same Day,Kean Nguyen,Corporate,New South Wales,Australia,APAC,Oceania,OFF-LA-10003396,Office Supplies,Labels,"Avery Color Coded Labels, Laser Printer Compatible",36.0,3,0.1,4.743,7.46,Critical,2011
IR-2011-7690,2011-03-01,2011-08-01,Second Class,Nat Gilpin,Corporate,Razavi Khorasan,Iran,EMEA,EMEA,OFF-BIC-10000582,Office Supplies,Art,"BIC Sketch Pad, Water Color",52.0,1,0.0,7.77,5.91,High,2011
IR-2011-770,2011-03-01,2011-07-01,Standard Class,Jas O'Carroll,Consumer,Yazd,Iran,EMEA,EMEA,OFF-ROG-10004393,Office Supplies,Storage,"Rogers Folders, Industrial",62.0,2,0.0,8.7,5.16,Medium,2011
TZ-2011-7370,2011-03-01,2011-08-01,Standard Class,Jack Garza,Consumer,Dar Es Salaam,Tanzania,Africa,Africa,OFF-STI-10000388,Office Supplies,Supplies,"Stiletto Scissors, Serrated",81.0,4,0.0,26.76,5.11,Medium,2011
IZ-2011-4680,2011-03-01,2011-07-01,Standard Class,Lindsay Williams,Corporate,Ninawa,Iraq,EMEA,EMEA,OFF-CAM-10004338,Office Supplies,Envelopes,"Cameo Interoffice Envelope, Set of 50",47.0,1,0.0,17.07,3.57,High,2011
IN-2011-65159,2011-03-01,2011-07-01,Second Class,Larry Blacks,Consumer,National Capital,Philippines,APAC,Southeast Asia,OFF-FA-10002569,Office Supplies,Fasteners,"Stockwell Staples, Metal",6.0,1,0.45,0.546,0.8,High,2011
IR-2011-770,2011-03-01,2011-07-01,Standard Class,Jas O'Carroll,Consumer,Yazd,Iran,EMEA,EMEA,OFF-ADV-10000213,Office Supplies,Fasteners,"Advantus Rubber Bands, Metal",17.0,1,0.0,4.17,0.54,Medium,2011
MX-2011-111255,2011-04-01,2011-09-01,Second Class,Russell Applegate,Consumer,Parana,Brazil,LATAM,South,FUR-BO-10001498,Furniture,Bookcases,"Dania Classic Bookcase, Pine",1648.0,6,0.0,609.84,109.13,Medium,2011
MX-2011-140641,2011-04-01,2011-09-01,Standard Class,Maya Herman,Corporate,Yucatán,Mexico,LATAM,North,TEC-AC-10001082,Technology,Accessories,"Enermax Keyboard, Bluetooth",223.0,4,0.0,13.28,42.28,High,2011
MX-2011-158771,2011-04-01,2011-11-01,Standard Class,Beth Thompson,Home Office,Granma,Cuba,LATAM,Caribbean,OFF-EN-10000857,Office Supplies,Envelopes,"Jiffy Interoffice Envelope, Set of 50",186.0,6,0.0,3.6,16.39,Medium,2011
ES-2011-4939443,2011-04-01,2011-08-01,Standard Class,Arthur Prichep,Consumer,Rhône-Alpes,France,EU,Central,OFF-AR-10001546,Office Supplies,Art,"Binney & Smith Sketch Pad, Easy-Erase",140.0,3,0.0,20.88,10.78,Medium,2011
MX-2011-111255,2011-04-01,2011-09-01,Second Class,Russell Applegate,Consumer,Parana,Brazil,LATAM,South,OFF-SU-10003629,Office Supplies,Supplies,"Fiskars Letter Opener, Easy Grip",149.0,8,0.0,28.16,10.38,Medium,2011
MX-2011-140641,2011-04-01,2011-09-01,Standard Class,Maya Herman,Corporate,Yucatán,Mexico,LATAM,North,TEC-CO-10002998,Technology,Copiers,"Sharp Ink, Laser",166.0,2,0.002,49.42824,9.54,High,2011
US-2011-136007,2011-04-01,2011-11-01,Standard Class,Beth Thompson,Home Office,Alagoas,Brazil,LATAM,South,OFF-EN-10004956,Office Supplies,Envelopes,"Jiffy Interoffice Envelope, Set of 50",74.0,6,0.6,-107.856,7.04,Medium,2011
MX-2011-159373,2011-04-01,2011-08-01,Standard Class,Arthur Wiediger,Home Office,Santiago de Cuba,Cuba,LATAM,Caribbean,FUR-CH-10004827,Furniture,Chairs,"SAFCO Chairmat, Black",38.0,1,0.0,6.88,4.25,Medium,2011
MX-2011-159373,2011-04-01,2011-08-01,Standard Class,Arthur Wiediger,Home Office,Santiago de Cuba,Cuba,LATAM,Caribbean,TEC-AC-10003081,Technology,Accessories,"Memorex Mouse, USB",38.0,2,0.0,2.24,3.94,Medium,2011
MX-2011-159373,2011-04-01,2011-08-01,Standard Class,Arthur Wiediger,Home Office,Santiago de Cuba,Cuba,LATAM,Caribbean,OFF-EN-10002816,Office Supplies,Envelopes,"Kraft Peel and Seal, Recycled",39.0,3,0.0,7.68,3.51,Medium,2011
IT-2011-2942451,2011-04-01,2011-09-01,Standard Class,Grant Thornton,Corporate,England,United Kingdom,EU,North,OFF-AR-10002485,Office Supplies,Art,"Boston Markers, Easy-Erase",27.0,2,0.5,-21.9,2.11,Medium,2011
CA-2011-103800,2011-04-01,2011-08-01,Standard Class,Darren Powers,Consumer,Texas,United States,US,Central,OFF-PA-10000174,Office Supplies,Paper,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",16.0,2,0.2,5.5512,1.82,High,2011
IN-2011-33036,2011-04-01,2011-08-01,Standard Class,Bradley Drucker,Consumer,Tottori,Japan,APAC,North Asia,OFF-LA-10000784,Office Supplies,Labels,"Harbour Creations File Folder Labels, 5000 Label Set",27.0,3,0.0,13.68,1.54,Medium,2011
IT-2011-2942451,2011-04-01,2011-09-01,Standard Class,Grant Thornton,Corporate,England,United Kingdom,EU,North,OFF-ST-10001426,Office Supplies,Storage,"Eldon Folders, Single Width",17.0,2,0.5,-1.05,0.9,Medium,2011
SU-2011-5190,2011-04-01,2011-08-01,Standard Class,Jasper Cacioppo,Consumer,Khartoum,Sudan,Africa,Africa,OFF-BOS-10004950,Office Supplies,Art,"Boston Pens, Fluorescent",15.0,1,0.0,2.61,0.82,Medium,2011
SU-2011-5190,2011-04-01,2011-08-01,Standard Class,Jasper Cacioppo,Consumer,Khartoum,Sudan,Africa,Africa,OFF-AVE-10003279,Office Supplies,Binders,"Avery Hole Reinforcements, Durable",6.0,1,0.0,2.1,0.51,Medium,2011
MX-2011-109267,2011-05-01,2011-09-01,Standard Class,Jennifer Halladay,Consumer,Veracruz,Mexico,LATAM,North,OFF-AP-10004245,Office Supplies,Appliances,"Hoover Stove, Black",3029.0,8,0.0,999.36,191.2,Medium,2011
ES-2011-3848439,2011-05-01,2011-07-01,First Class,Michael Granlund,Home Office,Rhône-Alpes,France,EU,Central,OFF-AR-10001291,Office Supplies,Art,"Sanford Canvas, Fluorescent",207.0,4,0.0,76.56,20.64,Medium,2011
ES-2011-3848439,2011-05-01,2011-07-01,First Class,Michael Granlund,Home Office,Rhône-Alpes,France,EU,Central,OFF-AR-10000833,Office Supplies,Art,"Binney & Smith Pencil Sharpener, Water Color",90.0,3,0.0,20.52,15.27,Medium,2011
CA-2011-112326,2011-05-01,2011-09-01,Standard Class,Phillina Ober,Home Office,Illinois,United States,US,Central,OFF-ST-10002743,Office Supplies,Storage,SAFCO Boltless Steel Shelving,273.0,3,0.2,-64.7748,13.59,High,2011
IN-2011-27681,2011-05-01,2011-11-01,Standard Class,Shaun Weien,Consumer,Taipei City,Taiwan,APAC,North Asia,FUR-FU-10000394,Furniture,Furnishings,"Rubbermaid Photo Frame, Durable",49.0,1,0.0,22.92,5.82,Low,2011
CA-2011-112326,2011-05-01,2011-09-01,Standard Class,Phillina Ober,Home Office,Illinois,United States,US,Central,OFF-LA-10003223,Office Supplies,Labels,Avery 508,12.0,3,0.2,4.2717,0.99,High,2011
CA-2011-112326,2011-05-01,2011-09-01,Standard Class,Phillina Ober,Home Office,Illinois,United States,US,Central,OFF-BI-10004094,Office Supplies,Binders,GBC Standard Plastic Binding Systems Combs,4.0,2,0.8,-5.487,0.55,High,2011
ES-2011-5496179,2011-06-01,2011-09-01,Second Class,Shahid Hopkins,Consumer,Ile-de-France,France,EU,Central,FUR-FU-10000468,Furniture,Furnishings,"Advantus Frame, Durable",324.0,3,0.0,35.64,39.98,High,2011
IN-2011-29963,2011-06-01,2011-10-01,Standard Class,Brosina Hoffman,Consumer,Sumatera Barat,Indonesia,APAC,Southeast Asia,OFF-ST-10000344,Office Supplies,Storage,"Fellowes Box, Industrial",50.0,3,0.17,6.0084,6.2,High,2011
ID-2011-41632,2011-06-01,2011-10-03,Standard Class,Robert Dilbeck,Home Office,Ho Chí Minh City,Vietnam,APAC,Southeast Asia,OFF-ST-10001631,Office Supplies,Storage,"Tenex Trays, Blue",90.0,2,0.17,29.2686,3.62,Medium,2011
IN-2011-29963,2011-06-01,2011-10-01,Standard Class,Brosina Hoffman,Consumer,Sumatera Barat,Indonesia,APAC,Southeast Asia,OFF-FA-10000549,Office Supplies,Fasteners,"Advantus Staples, Metal",41.0,7,0.47,-27.0942,2.63,High,2011
ID-2011-41632,2011-06-01,2011-09-30,Standard Class,Robert Dilbeck,Home Office,Ho Chí Minh City,Vietnam,APAC,Southeast Asia,OFF-PA-10003407,Office Supplies,Paper,"Enermax Memo Slips, Recycled",39.0,3,0.17,11.5893,2.45,Medium,2011
AO-2011-4910,2011-06-01,2011-11-01,Standard Class,Grace Kelly,Corporate,Luanda,Angola,Africa,Africa,TEC-LOG-10003079,Technology,Accessories,"Logitech Flash Drive, Erganomic",28.0,1,0.0,12.72,2.0,Medium,2011
IN-2011-76107,2011-06-01,2011-10-01,Standard Class,Khloe Miller,Consumer,Jilin,China,APAC,North Asia,OFF-EN-10002166,Office Supplies,Envelopes,"Cameo Manila Envelope, with clear poly window",31.0,1,0.0,13.11,1.96,High,2011
CA-2011-141817,2011-06-01,2011-10-03,Standard Class,Mick Brown,Consumer,Pennsylvania,United States,US,East,OFF-AR-10003478,Office Supplies,Art,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",20.0,3,0.2,4.884,1.85,Low,2011
CA-2011-167199,2011-07-01,2011-11-01,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,US,South,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2574.0,9,0.0,746.4078,258.99,High,2011
CA-2011-167199,2011-07-01,2011-11-01,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,US,South,OFF-BI-10004632,Office Supplies,Binders,Ibico Hi-Tech Manual Binding System,610.0,2,0.0,274.491,88.07,High,2011
CA-2011-167199,2011-07-01,2011-11-01,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,US,South,TEC-PH-10004977,Technology,Phones,GE 30524EE4,392.0,2,0.0,113.6742,62.37,High,2011
MZ-2011-1260,2011-07-01,2011-10-01,First Class,Stewart Visinsky,Consumer,Niassa,Mozambique,Africa,Africa,OFF-ELD-10001694,Office Supplies,Storage,"Eldon File Cart, Single Width",256.0,2,0.0,46.02,52.46,High,2011
ID-2011-58670,2011-07-01,2011-11-01,Standard Class,Maribeth Schnelling,Consumer,National Capital,Philippines,APAC,Southeast Asia,TEC-MA-10000868,Technology,Machines,"Panasonic Phone, Wireless",445.0,7,0.25,-136.71,46.97,High,2011
ID-2011-58670,2011-07-01,2011-11-01,Standard Class,Maribeth Schnelling,Consumer,National Capital,Philippines,APAC,Southeast Asia,TEC-AC-10003413,Technology,Accessories,"Logitech Router, Programmable",274.0,2,0.45,-44.838,42.19,High,2011
ES-2011-5433855,2011-07-01,2011-08-01,First Class,Dave Poirier,Corporate,Provence-Alpes-Côte d'Azur,France,EU,Central,OFF-ST-10004855,Office Supplies,Storage,"Smead Lockers, Industrial",716.0,4,0.1,143.16,32.46,Medium,2011
ID-2011-58670,2011-07-01,2011-11-01,Standard Class,Maribeth Schnelling,Consumer,National Capital,Philippines,APAC,Southeast Asia,TEC-MA-10004482,Technology,Machines,"Panasonic Card Printer, White",388.0,3,0.25,25.8075,26.2,High,2011
LE-2011-9590,2011-07-01,2011-11-01,Standard Class,Harry Marie,Corporate,Beirut,Lebanon,EMEA,EMEA,TEC-HP -10000464,Technology,Copiers,"HP Fax and Copier, Color",174.0,1,0.0,71.46,23.84,High,2011
CA-2011-167199,2011-07-01,2011-11-01,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,US,South,TEC-PH-10004539,Technology,Phones,Wireless Extenders zBoost YX545 SOHO Signal Booster,756.0,4,0.0,204.1092,13.82,High,2011
MZ-2011-1260,2011-07-01,2011-10-01,First Class,Stewart Visinsky,Consumer,Niassa,Mozambique,Africa,Africa,OFF-STA-10004885,Office Supplies,Art,"Stanley Sketch Pad, Easy-Erase",45.0,1,0.0,8.49,13.7,High,2011
ES-2011-5433855,2011-07-01,2011-08-01,First Class,Dave Poirier,Corporate,Provence-Alpes-Côte d'Azur,France,EU,Central,OFF-FA-10002071,Office Supplies,Fasteners,"Accos Thumb Tacks, Assorted Sizes",33.0,3,0.0,2.25,9.73,Medium,2011
ES-2011-5433855,2011-07-01,2011-08-01,First Class,Dave Poirier,Corporate,Provence-Alpes-Côte d'Azur,France,EU,Central,FUR-BO-10000265,Furniture,Bookcases,"Bush Floating Shelf Set, Pine",155.0,1,0.1,36.228,5.72,Medium,2011
CA-2011-130813,2011-07-01,2011-09-01,Second Class,Lycoris Saunders,Consumer,California,United States,US,West,OFF-PA-10002005,Office Supplies,Paper,Xerox 225,19.0,3,0.0,9.3312,4.37,High,2011
AG-2011-7230,2011-07-01,2011-11-01,Standard Class,Alyssa Crouse,Corporate,Alger,Algeria,Africa,Africa,OFF-STA-10000244,Office Supplies,Art,"Stanley Sketch Pad, Fluorescent",91.0,2,0.0,14.58,4.36,Medium,2011
MX-2011-135629,2011-07-01,2011-07-01,Same Day,Dorothy Dickinson,Consumer,São Paulo,Brazil,LATAM,South,OFF-FA-10001871,Office Supplies,Fasteners,"Stockwell Rubber Bands, Bulk Pack",43.0,4,0.0,6.0,3.94,High,2011
MX-2011-135629,2011-07-01,2011-07-01,Same Day,Dorothy Dickinson,Consumer,São Paulo,Brazil,LATAM,South,OFF-BI-10000136,Office Supplies,Binders,"Ibico Index Tab, Durable",19.0,3,0.0,2.4,3.69,High,2011
CA-2011-106054,2011-07-01,2011-08-01,First Class,Jack O'Briant,Corporate,Georgia,United States,US,South,OFF-AR-10002399,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",13.0,3,0.0,5.2398,3.51,Critical,2011
ID-2011-58670,2011-07-01,2011-11-01,Standard Class,Maribeth Schnelling,Consumer,National Capital,Philippines,APAC,Southeast Asia,OFF-AR-10003684,Office Supplies,Art,"BIC Sketch Pad, Fluorescent",27.0,1,0.45,-4.494,3.21,High,2011
LE-2011-9590,2011-07-01,2011-11-01,Standard Class,Harry Marie,Corporate,Beirut,Lebanon,EMEA,EMEA,FUR-ADV-10000847,Furniture,Furnishings,"Advantus Stacking Tray, Black",26.0,1,0.0,7.38,2.88,High,2011
CA-2011-167199,2011-07-01,2011-11-01,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,US,South,OFF-FA-10001883,Office Supplies,Fasteners,"Alliance Super-Size Bands, Assorted Sizes",31.0,4,0.0,0.3112,2.19,High,2011
CA-2011-167199,2011-07-01,2011-11-01,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,US,South,OFF-PA-10000955,Office Supplies,Paper,Southworth 25% Cotton Granite Paper & Envelopes,7.0,1,0.0,3.0084,1.13,High,2011
ID-2011-28752,2011-07-01,2011-12-01,Standard Class,Adam Bellavance,Home Office,Singapore,Singapore,APAC,Southeast Asia,OFF-LA-10002875,Office Supplies,Labels,"Novimex Shipping Labels, Adjustable",18.0,2,0.0,5.46,0.89,Medium,2011
CA-2011-167199,2011-07-01,2011-11-01,Standard Class,Maria Etezadi,Home Office,Kentucky,United States,US,South,OFF-AR-10001662,Office Supplies,Art,Rogers Handheld Barrel Pencil Sharpener,5.0,2,0.0,1.4796,0.52,High,2011
IT-2011-5134922,2011-07-01,2011-10-01,First Class,Joy Smith,Consumer,Groningen,Netherlands,EU,Central,OFF-AR-10000316,Office Supplies,Art,"Stanley Pens, Blue",5.0,1,0.5,-0.105,0.28,Medium,2011
AO-2011-1670,2011-08-01,2011-11-30,Standard Class,Henia Zydlo,Consumer,Benguela,Angola,Africa,Africa,FUR-IKE-10001539,Furniture,Bookcases,"Ikea Classic Bookcase, Pine",2479.0,6,0.0,49.5,349.87,High,2011
IN-2011-19330,2011-08-01,2011-12-01,Second Class,Nicole Fjeld,Home Office,Yunnan,China,APAC,North Asia,TEC-MA-10002468,Technology,Machines,"Panasonic Inkjet, White",2174.0,7,0.0,260.82,275.52,Medium,2011
IT-2011-4546695,2011-08-01,2011-12-01,Standard Class,Darren Powers,Consumer,Midi-Pyrénées,France,EU,Central,FUR-BO-10003103,Furniture,Bookcases,"Ikea Classic Bookcase, Metal",987.0,6,0.6,-1011.636,65.64,Medium,2011
MX-2011-121202,2011-08-01,2011-11-29,Second Class,Christopher Martinez,Consumer,Guatemala,Guatemala,LATAM,Central,OFF-ST-10002471,Office Supplies,Storage,"Smead Lockers, Single Width",397.0,3,0.0,182.52,33.67,Medium,2011
CA-2011-105417,2011-08-01,2011-12-04,Standard Class,Vivek Sundaresam,Consumer,Texas,United States,US,Central,FUR-FU-10004864,Furniture,Furnishings,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",77.0,3,0.6,-53.7096,6.69,Medium,2011
MX-2011-121202,2011-08-01,2011-12-01,Second Class,Christopher Martinez,Consumer,Guatemala,Guatemala,LATAM,Central,OFF-BI-10002937,Office Supplies,Binders,"Wilson Jones Binder Covers, Clear",50.0,7,0.0,20.3,5.66,Medium,2011
IT-2011-4546695,2011-08-01,2011-12-04,Standard Class,Darren Powers,Consumer,Midi-Pyrénées,France,EU,Central,OFF-AR-10000110,Office Supplies,Art,"Binney & Smith Sketch Pad, Blue",116.0,5,0.5,-55.65,3.91,Medium,2011
NI-2011-4770,2011-08-01,2011-11-01,Second Class,Joe Elijah,Consumer,Lagos,Nigeria,Africa,Africa,OFF-AVE-10000608,Office Supplies,Binders,"Avery Index Tab, Economy",5.0,2,0.7,-4.542,0.82,High,2011
CA-2011-105417,2011-08-01,2011-12-02,Standard Class,Vivek Sundaresam,Consumer,Texas,United States,US,Central,OFF-BI-10003708,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",10.0,7,0.8,-18.2525,0.63,Medium,2011
ID-2011-20814,2011-09-01,2012-01-03,Standard Class,Ed Braxton,Corporate,Jawa Timur,Indonesia,APAC,Southeast Asia,TEC-PH-10001730,Technology,Phones,"Motorola Signal Booster, Full Size",240.0,2,0.17,-11.6028,34.99,High,2011
IN-2011-69366,2011-09-01,2011-12-30,Standard Class,Alejandro Grove,Consumer,Kiên Giang,Vietnam,APAC,Southeast Asia,TEC-AC-10000354,Technology,Accessories,"Belkin Numeric Keypad, USB",177.0,6,0.47,-156.6792,17.09,Medium,2011
ID-2011-46483,2011-09-01,2012-01-03,Standard Class,Sample Company A,Home Office,Calabarzon,Philippines,APAC,Southeast Asia,OFF-ST-10001342,Office Supplies,Storage,"Fellowes Trays, Blue",158.0,5,0.45,-2.9775,10.08,High,2011
IN-2011-69366,2011-09-01,2011-12-30,Standard Class,Alejandro Grove,Consumer,Kiên Giang,Vietnam,APAC,Southeast Asia,TEC-PH-10003823,Technology,Phones,"Apple Headset, Full Size",124.0,2,0.17,32.793,7.93,Medium,2011
ID-2011-46483,2011-09-01,2012-01-03,Standard Class,Sample Company A,Home Office,Calabarzon,Philippines,APAC,Southeast Asia,OFF-FA-10000577,Office Supplies,Fasteners,"Stockwell Push Pins, 12 Pack",52.0,7,0.45,4.5885,5.55,High,2011
IN-2011-69366,2011-09-01,2012-01-02,Standard Class,Alejandro Grove,Consumer,Kiên Giang,Vietnam,APAC,Southeast Asia,OFF-LA-10000668,Office Supplies,Labels,"Smead Removable Labels, Adjustable",45.0,5,0.17,17.8935,3.31,Medium,2011
ID-2011-46483,2011-09-01,2012-01-02,Standard Class,Sample Company A,Home Office,Calabarzon,Philippines,APAC,Southeast Asia,OFF-PA-10003405,Office Supplies,Paper,"Green Bar Memo Slips, Premium",9.0,1,0.45,-1.7175,0.69,High,2011
IN-2011-69366,2011-09-01,2012-01-02,Standard Class,Alejandro Grove,Consumer,Kiên Giang,Vietnam,APAC,Southeast Asia,OFF-BI-10003874,Office Supplies,Binders,"Avery Index Tab, Clear",10.0,2,0.17,0.0714,0.25,Medium,2011
IN-2011-61302,2011-10-01,2011-11-01,First Class,Dan Lawera,Consumer,Queensland,Australia,APAC,Oceania,TEC-PH-10004664,Technology,Phones,"Nokia Smart Phone, with Caller ID",2875.0,5,0.1,511.095,665.27,Medium,2011
HU-2011-1380,2011-10-01,2011-10-01,Same Day,Elpida Rittenbach,Corporate,Budapest,Hungary,EMEA,EMEA,FUR-IKE-10002894,Furniture,Bookcases,"Ikea Library with Doors, Traditional",363.0,1,0.0,159.87,134.59,Critical,2011
HU-2011-1380,2011-10-01,2011-10-01,Same Day,Elpida Rittenbach,Corporate,Budapest,Hungary,EMEA,EMEA,TEC-CAN-10004354,Technology,Copiers,"Canon Ink, Laser",589.0,4,0.0,276.6,114.15,Critical,2011
EG-2011-4260,2011-10-01,2011-12-01,Second Class,Sanjit Jacobs,Home Office,Al Qahirah,Egypt,Africa,Africa,FUR-CHR-10004803,Furniture,Tables,"Chromcraft Wood Table, Fully Assembled",968.0,2,0.0,445.26,80.13,High,2011
HU-2011-1380,2011-10-01,2011-10-01,Same Day,Elpida Rittenbach,Corporate,Budapest,Hungary,EMEA,EMEA,OFF-SAN-10003226,Office Supplies,Paper,"SanDisk Message Books, Recycled",142.0,6,0.0,63.9,67.79,Critical,2011
HU-2011-1380,2011-10-01,2011-10-01,Same Day,Elpida Rittenbach,Corporate,Budapest,Hungary,EMEA,EMEA,OFF-SAN-10000874,Office Supplies,Art,"Sanford Pencil Sharpener, Fluorescent",155.0,6,0.0,54.18,58.32,Critical,2011
HU-2011-1380,2011-10-01,2011-10-01,Same Day,Elpida Rittenbach,Corporate,Budapest,Hungary,EMEA,EMEA,TEC-EPS-10000774,Technology,Machines,"Epson Phone, Red",156.0,2,0.0,23.4,52.91,Critical,2011
AG-2011-1070,2011-10-01,2012-01-31,Second Class,Tiffany House,Corporate,Constantine,Algeria,Africa,Africa,OFF-HOO-10001783,Office Supplies,Appliances,"Hoover Microwave, Red",309.0,1,0.0,61.71,31.41,Medium,2011
US-2011-101091,2011-10-01,2012-02-01,Standard Class,Jocasta Rupert,Consumer,Carabobo,Venezuela,LATAM,South,TEC-CO-10001818,Technology,Copiers,"Sharp Wireless Fax, Digital",425.0,3,0.402,-278.79024,26.72,Medium,2011
